"Date","MET_radswd","MET_radlwd","MET_cldcvr","MET_tmpair","MET_airmax","MET_airmin","MET_dewmax","MET_dewmin","MET_humrel","MET_tmpdew","MET_prvapr","MET_prsttn","MET_prmslp","MET_wndspd","MET_wnddir","MET_wnduvu","MET_wnduvv","MET_pprain","MET_ppsnow"
1990-03-04,231.585,318.829,0.618,17.385,0,0,0,0,68.156,11.454,13.536,97363.9,100612.654,0.985,229.337,-0.747,-0.642,0,0
1990-03-05,259.499,314.778,0.476,17.344,0,0,0,0,72.833,12.422,14.428,97480.4,100733.507,1.849,202.476,-0.707,-1.709,0.054,0
1990-03-06,188.031,338.105,0.755,17.373,0,0,0,0,82.555,14.373,16.384,97276.7,100522.681,1.213,181.058,-0.022,-1.213,1.58,0
1990-03-07,185.868,350.379,0.755,18.19,0,0,0,0,81.668,15.004,17.064,97516.9,100761.649,2.225,218.246,-1.378,-1.748,1.386,0
1990-03-08,43.873,382.171,1,17.901,0,0,0,0,97.851,17.556,20.076,97462,100708.193,3.648,215.871,-2.138,-2.956,19.844,0
1990-03-09,81.91,398.006,1,19.947,0,0,0,0,97.279,19.502,22.679,97134.3,100346.692,3.072,177.355,0.142,-3.069,27.52,0
1990-03-10,70.387,389.618,1,19.627,0,0,0,0,97.132,19.159,22.199,97228.4,100447.465,2.557,166.445,0.599,-2.486,13.716,0
1990-03-11,186.777,377.935,0.715,20.349,0,0,0,0,89.038,18.482,21.28,97515,100735.508,2.873,154.072,1.256,-2.584,6.087,0
1990-03-12,175.699,384.848,0.749,20.322,0,0,0,0,92.505,19.066,22.072,97506.2,100726.718,2.836,152.029,1.33,-2.504,6.13,0
1990-03-13,109.052,368.911,0.97,17.794,0,0,0,0,86.783,15.561,17.686,97426.4,100672.617,1.159,339.223,-0.411,1.083,10.86,0
1990-03-14,234.035,302.911,0.528,15.162,0,0,0,0,72.117,10.172,12.43,97709.8,100995.579,1.251,268.039,-1.25,-0.043,0.3,0
1990-03-15,49.462,358.411,1,15.951,0,0,0,0,92.859,14.796,16.836,97433.6,100701.025,1.759,238.88,-1.506,-0.909,9.699,0
1990-03-16,164.998,358.494,0.783,17.17,0,0,0,0,85.318,14.684,16.716,97562.5,100820.328,3.23,324.812,-1.861,2.64,12.517,0
1990-03-17,197.964,335.205,0.648,17.208,0,0,0,0,84.08,14.495,16.513,97808.9,101074.517,2.153,303.164,-1.802,1.178,6.319,0
1990-03-18,180.552,338.729,0.714,16.731,0,0,0,0,86.464,14.46,16.475,97451.2,100710.303,1.643,232.215,-1.299,-1.007,6.753,0
1990-03-19,156.141,357.775,0.795,17.426,0,0,0,0,91.878,16.091,18.294,96709.8,99936.275,0.864,188.066,-0.121,-0.855,9.758,0
1990-03-20,174.117,334.131,0.728,17.497,0,0,0,0,80.088,14.025,16.019,96950.7,100184.407,1.295,5.302,0.12,1.29,3.457,0
1990-03-21,203.749,318.168,0.594,16.889,0,0,0,0,78.248,13.077,15.06,97032.8,100276.119,1.558,62.989,1.388,0.708,1.393,0
1990-03-22,253.169,261.269,0.328,11.354,0,0,0,0,58.33,3.462,7.841,97415,100735.309,4.731,345.474,-1.187,4.58,0.047,0
1990-03-23,239.21,270.223,0.402,12.194,0,0,0,0,66.342,6.103,9.427,97595.3,100911.821,2.085,15.74,0.566,2.007,0.002,0
1990-03-24,201.377,292.24,0.596,13.549,0,0,0,0,72.903,8.781,11.32,97260.7,100550.026,3.197,56.31,2.66,1.773,0.016,0
1990-03-25,221.984,287.083,0.488,12.825,0,0,0,0,61.081,5.506,9.046,97758.3,101072.939,2.786,340.964,-0.909,2.634,0.016,0
1990-03-26,237.42,275.355,0.349,13.146,0,0,0,0,69.734,7.739,10.547,98273.1,101601.405,1.504,35.753,0.879,1.221,0.002,0
1990-03-27,218.653,307.821,0.438,17.324,0,0,0,0,73.061,12.45,14.455,98338.3,101620.267,1.568,50.388,1.208,1,0.036,0
1990-03-28,226.469,306.931,0.361,16.25,0,0,0,0,77.594,12.329,14.34,98030.9,101314.91,2.23,70.821,2.106,0.733,0.05,0
1990-03-29,179.052,319.338,0.644,16.261,0,0,0,0,76.83,12.189,14.208,97592.6,100861.801,2.929,76.117,2.843,0.703,0.58,0
1990-03-30,203.758,291.661,0.515,15.1,0,0,0,0,66.491,8.904,11.415,97396,100671.937,2.832,40.33,1.833,2.159,0.025,0
1990-03-31,144.772,327.793,0.784,14.541,0,0,0,0,80.95,11.309,13.405,97788,101083.601,1.53,169.021,0.291,-1.502,3.519,0
1990-04-01,137.969,322.246,0.805,14.058,0,0,0,0,82.766,11.172,13.284,97547.1,100840.184,2.387,111.867,2.215,-0.889,1.232,0
1990-04-02,183.618,320.092,0.584,15.258,0,0,0,0,76.37,11.126,13.245,97650.2,100932.865,2.525,80.406,2.49,0.421,1.092,0
1990-04-03,167.542,298.337,0.659,13.678,0,0,0,0,67.4,7.748,10.554,97925,101235.279,2.18,14.306,0.539,2.112,0.045,0
1990-04-04,218,268.291,0.317,12.288,0,0,0,0,62.728,5.383,8.969,98394.6,101737.169,1.428,31.608,0.748,1.216,0.046,0
1990-04-05,186.683,300.691,0.522,15.013,0,0,0,0,71.566,9.915,12.218,98376.7,101686.636,1.208,5.158,0.109,1.203,0.064,0
1990-04-06,209.836,285.865,0.314,15.035,0,0,0,0,73.392,10.313,12.547,98239.5,101544.562,1.525,53.351,1.224,0.91,0.063,0
1990-04-07,151.268,319.592,0.697,14.46,0,0,0,0,79.766,11.007,13.14,97729.2,101023.761,3.387,67.019,3.118,1.322,0.648,0
1990-04-08,51.622,351.975,1,14.758,0,0,0,0,90.992,13.302,15.281,97554.8,100840.029,0.889,95.586,0.884,-0.086,4.263,0
1990-04-09,98.924,353.83,0.907,15.914,0,0,0,0,91.215,14.483,16.499,97416.9,100684.189,0.46,19.01,0.15,0.435,4.923,0
1990-04-10,159.538,316.61,0.624,15.493,0,0,0,0,77.908,11.656,13.717,98045.6,101338.833,0.272,291.45,-0.254,0.1,0.675,0
1990-04-11,144.821,333.937,0.694,15.559,0,0,0,0,81.028,12.316,14.327,98425.5,101730.729,0.68,133.171,0.496,-0.465,0.979,0
1990-04-12,82.087,353.149,0.964,14.178,0,0,0,0,93.834,13.199,15.179,98583.3,101909.95,1.497,191.486,-0.298,-1.467,6.773,0
1990-04-13,123.147,331.635,0.789,14.626,0,0,0,0,83.082,11.785,13.834,98099.7,101404.809,2.523,71.121,2.388,0.817,1.05,0
1990-04-14,166.028,325.558,0.534,16.023,0,0,0,0,79.577,12.492,14.494,97785.4,101063.799,2.136,60.172,1.853,1.063,0.044,0
1990-04-15,109.416,351.74,0.838,15.702,0,0,0,0,82.768,12.78,14.769,97384.1,100652.719,2.596,102.997,2.529,-0.584,3.587,0
1990-04-16,147.037,313.961,0.644,13.97,0,0,0,0,80.031,10.581,12.772,96735.6,100002.296,3.811,74.567,3.674,1.014,7.066,0
1990-04-17,131.659,307.949,0.726,13.271,0,0,0,0,76.321,9.192,11.638,96374.7,99637.268,4.756,75.066,4.596,1.226,0.367,0
1990-04-18,179.613,259.355,0.414,9.722,0,0,0,0,67.066,3.901,8.085,97152.1,100482.809,2.009,67.216,1.852,0.778,0.066,0
1990-04-19,111.925,307.086,0.812,12.631,0,0,0,0,79.414,9.161,11.613,97031.5,100323.758,3.257,90.777,3.257,-0.044,0.272,0
1990-04-20,112.484,309.652,0.803,12.486,0,0,0,0,81.3,9.368,11.776,96715.1,99998.314,3.766,81.22,3.722,0.575,1.169,0
1990-04-21,185.53,244.341,0.299,8.997,0,0,0,0,59.586,1.546,6.841,97691.8,101049.739,2.03,347.492,-0.44,1.982,0.348,0
1990-04-22,92.9,304.344,0.892,9.746,0,0,0,0,73.236,5.184,8.843,97725.1,101075.161,1.255,216.958,-0.754,-1.003,0.023,0
1990-04-23,16.002,363.389,1,14.046,0,0,0,0,97.677,13.683,15.665,96213,99461.187,2.595,189.847,-0.444,-2.557,41.904,0
1990-04-24,106.324,351.446,0.794,15.896,0,0,0,0,92.542,14.689,16.72,95530.3,98734.512,1.695,108.865,1.604,-0.548,24.374,0
1990-04-25,105.094,336.797,0.8,14.528,0,0,0,0,88.917,12.722,14.712,96078,99316.116,1.553,125.871,1.258,-0.91,1.479,0
1990-04-26,116.848,345.099,0.722,15.493,0,0,0,0,90.098,13.876,15.863,96831.6,100084.061,1.3,172.453,0.171,-1.288,2.937,0
1990-04-27,44.231,369.208,1,15.302,0,0,0,0,98.107,15.004,17.063,96691.2,99941.127,1.935,176.478,0.119,-1.932,29.951,0
1990-04-28,131.656,326.768,0.615,13.951,0,0,0,0,88.105,12.013,14.043,96487.9,99746.457,3.215,93.79,3.208,-0.212,16.116,0
1990-04-29,118.334,322.006,0.697,14.145,0,0,0,0,85.402,11.731,13.785,96778.2,100044.325,2.701,93.892,2.695,-0.183,0.82,0
1990-04-30,90.475,336.018,0.851,12.341,0,0,0,0,95.276,11.606,13.669,95687,98936.982,2.4,134.083,1.724,-1.67,20.49,0
1990-05-01,145.87,297.038,0.472,12.853,0,0,0,0,81.886,9.834,12.15,95991.4,99245.802,4.127,58.796,3.53,2.138,8.768,0
1990-05-02,76.691,319.109,0.914,12.056,0,0,0,0,91.704,10.747,12.912,96022,99286.66,3.796,98.107,3.758,-0.535,6.885,0
1990-05-03,118.908,284.799,0.672,10.239,0,0,0,0,83.983,7.652,10.482,95731.9,99007.846,4.058,74.612,3.913,1.077,6.123,0
1990-05-04,155.386,257.525,0.332,10.188,0,0,0,0,77.236,6.38,9.607,96728.9,100039.566,2.279,44.581,1.6,1.623,0.15,0
1990-05-05,100.443,285.029,0.773,10.693,0,0,0,0,84.922,8.261,10.925,97295.6,100619.658,2.553,61.523,2.244,1.217,0.004,0
1990-05-06,89.878,340.387,0.819,13.762,0,0,0,0,90.166,12.178,14.196,97072.2,100352.678,3.035,90.804,3.034,-0.043,0.881,0
1990-05-07,121.322,294.001,0.609,11.869,0,0,0,0,84.112,9.271,11.698,96956.4,100255.026,3.452,81.377,3.413,0.518,1.18,0
1990-05-08,150.541,245.231,0.323,9.154,0,0,0,0,70.383,4.045,8.166,97829.4,101190.172,2.561,46.62,1.861,1.759,0.389,0
1990-05-09,145.84,250.64,0.36,8.92,0,0,0,0,76.087,4.934,8.69,98719,102113.187,0.73,9.544,0.121,0.72,0.002,0
1990-05-10,144.755,251.039,0.344,9.477,0,0,0,0,79.668,6.138,9.447,98641.4,102026.136,1.367,72.922,1.307,0.402,0,0
1990-05-11,139.739,262.752,0.386,9.07,0,0,0,0,86.023,6.855,9.924,97962.7,101329.07,1.632,53.84,1.318,0.963,0.004,0
1990-05-12,106.346,294.564,0.685,9.055,0,0,0,0,87.82,7.143,10.122,96980.8,100313.601,1.051,54.057,0.851,0.617,0.004,0
1990-05-13,102.407,294.376,0.703,9.916,0,0,0,0,86.397,7.751,10.552,96170.3,99465.056,2.32,86.563,2.316,0.139,0.294,0
1990-05-14,110.729,267.955,0.638,8.373,0,0,0,0,83.549,5.749,9.195,96604.2,99932.209,2.441,91.373,2.441,-0.059,0.543,0
1990-05-15,113.771,263.261,0.605,8.066,0,0,0,0,83.62,5.46,9.012,97169.1,100520.283,2.485,79.621,2.444,0.448,0.483,0
1990-05-16,133.346,260.49,0.379,9.552,0,0,0,0,81.647,6.568,9.731,97706.8,101058.563,0.701,33.543,0.387,0.584,0.262,0
1990-05-17,129.774,265.868,0.416,8.049,0,0,0,0,84.321,5.564,9.077,97652.9,101020.973,0.914,41.457,0.605,0.685,0.002,0
1990-05-18,104.636,286.142,0.65,8.644,0,0,0,0,86.766,6.562,9.726,96887.2,100221.712,0.832,160.379,0.28,-0.784,0.083,0
1990-05-19,18.009,356.747,1,12.585,0,0,0,0,97.599,12.215,14.229,95687.6,98934.784,2.292,178.635,0.055,-2.291,61.441,0
1990-05-20,105.939,279.965,0.621,9.55,0,0,0,0,83.518,6.896,9.952,96660.2,99976.088,3.715,68.362,3.453,1.37,7.641,0
1990-05-21,95.572,280.685,0.698,9.69,0,0,0,0,83.434,7.018,10.036,97722.2,101072.839,2.04,86.113,2.036,0.138,0.276,0
1990-05-22,93.296,313.186,0.702,10.886,0,0,0,0,89.757,9.27,11.696,97704.5,101040.237,2.568,112.84,2.367,-0.997,0.52,0
1990-05-23,39.554,350.763,1,12.425,0,0,0,0,97.982,12.115,14.136,97517.3,100828.455,1.951,154.495,0.84,-1.761,12.467,0
1990-05-24,51.481,362.652,0.967,14.605,0,0,0,0,97.463,14.207,16.206,96673.5,99930.807,3.677,118.404,3.235,-1.749,34.055,0
