Date,Temp_C,Temp_min,Temp_max,HumRel_mean,n_hours,RadSWD_mean,Precip_mm,Wind_Spd_ms
2022-01-02,19.491666666666667,12.6,26.1,69.625,24,362.962962962963,0,3.15
2022-01-03,21.025,12.2,29.9,60.708333333333336,24,368.98148148148147,0,2.55
2022-01-04,21.833333333333332,14.9,27.9,68.16666666666667,24,352.5462962962963,0,2.5
2022-01-05,22.195833333333333,17.7,28.5,67,24,284.02777777777777,0,2.38
2022-01-06,18.545833333333334,13.2,25.9,64.66666666666667,24,226.85185185185185,0.2,3.34
2022-01-07,17.608333333333334,10.8,23.8,67.20833333333333,24,306.712962962963,0,2.73
2022-01-08,18.7,12.1,24,76.625,24,255.55555555555554,0,2.52
2022-01-09,19.933333333333334,15.7,25.4,71.75,24,233.21759259259258,0,2.93
2022-01-10,20.4875,13.7,26.5,68.875,24,319.21296296296293,0,3.34
2022-01-11,20.920833333333334,14.3,27.1,66.41666666666667,24,317.5925925925926,0,2.53
2022-01-12,18.870833333333334,12.5,25.2,64.08333333333333,24,324.88425925925924,0,3.5
2022-01-13,15.979166666666666,9.1,22.9,60.875,24,283.912037037037,0,3.98
2022-01-14,16.5875,10.7,22.4,64,24,336.3425925925926,0,2.93
2022-01-15,17.854166666666668,12.6,23.7,57.166666666666664,24,297.9166666666667,0,2.97
2022-01-16,18.975,13.1,25.4,58.291666666666664,24,341.5509259259259,0,4.03
2022-01-17,20.329166666666666,11.5,26.8,61.041666666666664,24,345.9490740740741,0,3.18
2022-01-18,20.5,13,29.4,67.08333333333333,24,336.1111111111111,0,2.7
2022-01-19,19.683333333333334,13.9,24.8,70.20833333333333,24,176.04166666666666,0,2.86
2022-01-20,16.370833333333334,10,22.4,69.08333333333333,24,212.03703703703704,1,2.84
2022-01-21,20.22083333333333,14.1,25.7,55.875,24,336.5740740740741,0,3.07
2022-01-22,19.579166666666666,13.4,24.4,73.125,24,231.36574074074073,0,2.7
2022-01-23,20.595833333333335,18,25.6,75.58333333333333,24,146.18055555555554,0,2.37
2022-01-24,17.3875,15.5,19.1,91.83333333333333,24,89.12037037037037,8.6,2.44
2022-01-25,19.4375,17.8,22.2,88.25,24,196.0648148148148,8.8,3.3
2022-01-26,21.354166666666668,16.3,26.5,70.58333333333333,24,321.412037037037,0,2.97
2022-01-27,17.28333333333333,11.2,25.1,49.375,24,330.43981481481484,0,4.55
2022-01-28,17.3125,12,23.9,67.58333333333333,24,311.80555555555554,0,2.34
2022-01-29,18.9625,14.5,23.3,72.45833333333333,24,337.96296296296293,0,3.08
2022-01-30,20.041666666666668,13.5,26.8,73.75,24,329.5138888888889,0,3.02
2022-01-31,20.166666666666668,17.8,23.6,72.79166666666667,24,271.64351851851853,0,4.06
2022-02-01,19.716666666666665,17.4,23.1,80.20833333333333,24,280.55555555555554,1.2,5.17
2022-02-02,19.379166666666666,18.4,21.2,86.375,24,141.66666666666666,1.2,5.03
2022-02-03,19.670833333333334,17.3,22.4,83.45833333333333,24,198.95833333333334,0,3.5
2022-02-04,20.925,19,24.2,80.58333333333333,24,268.98148148148147,0,4.06
2022-02-05,20.725,19.5,23.3,89.83333333333333,24,138.42592592592592,0,5.14
2022-02-06,16.533333333333335,15.3,19.9,95.79166666666667,24,48.49537037037037,62.6,4.17
2022-02-07,19.941666666666666,18.2,24.2,93.83333333333333,24,127.77777777777779,19,1.86
2022-02-08,21.35,19.6,25.4,94.20833333333333,24,113.42592592592592,0.4,1.94
2022-02-09,20.4875,19.5,22.8,97.95833333333333,24,104.16666666666667,0,2.69
2022-02-10,21.895833333333332,19.2,25,88.29166666666667,24,208.68055555555554,0,3.04
2022-02-11,21.983333333333334,20.9,24.3,99.08333333333333,24,95.60185185185185,11.8,3.37
2022-02-12,22.508333333333333,20.8,24.8,95.125,24,109.49074074074073,4.2,6.06
2022-02-13,15.558333333333334,11,21.1,84.375,24,229.74537037037035,1.4,4.07
2022-02-14,14.4375,8.2,20.6,68.54166666666667,24,257.06018518518516,0.2,3.46
2022-02-15,16.7875,10.7,24.3,73.54166666666667,24,317.2453703703704,0,2.09
2022-02-16,17.5125,11.7,24.2,72.08333333333333,24,311.1111111111111,0,2.95
2022-02-17,17.975,13.1,23.2,77.875,24,276.5046296296296,0,2.38
2022-02-18,18.758333333333333,15.1,22.8,78.79166666666667,24,244.3287037037037,0,2.94
2022-02-19,19.066666666666666,15,22.2,75.83333333333333,24,246.41203703703704,0,2.62
2022-02-20,19.5875,17.7,23.1,84.75,24,125,1,2.21
2022-02-21,18.925,17,21.4,87.58333333333333,24,196.18055555555554,2.2,2.78
2022-02-22,19.275,14.5,24.1,77.95833333333333,24,282.2916666666667,0,2.25
2022-02-23,18.866666666666667,13.8,26.4,65.54166666666667,24,244.09722222222223,0,3.67
2022-02-24,15.979166666666666,10.2,23,65.41666666666667,24,297.22222222222223,0,4.02
2022-02-25,16.75,11,22.6,72.875,24,193.75,0,2.21
2022-02-26,19.166666666666668,14.8,24.2,63.25,24,217.47685185185185,0.6,2.2
2022-02-27,15.158333333333333,9.4,21.5,60.083333333333336,24,231.71296296296296,0,3.75
2022-02-28,16.683333333333334,13.4,22.2,67.70833333333333,24,253.58796296296296,0,2.09
2022-03-01,18.241666666666667,14.9,23.2,70.95833333333333,24,224.30555555555557,0,2.16
2022-03-02,14.895833333333334,9.5,21.1,62.125,24,251.27314814814815,0,4.18
2022-03-03,15.299999999999999,9.6,21.2,71.54166666666667,24,276.27314814814815,0,2.66
2022-03-04,15.425,9.5,20.8,78.20833333333333,24,203.9351851851852,0,2.11
2022-03-05,16.4125,10.8,21.8,77.75,24,236.45833333333334,0,1.89
2022-03-06,16.754166666666666,11.5,22.1,78,24,275,0,2.5
2022-03-07,18.6375,13.5,24,71.54166666666667,24,259.72222222222223,0,2.27
2022-03-08,19.170833333333334,16.2,23.8,78.70833333333333,24,227.66203703703704,0,2.56
2022-03-09,17.379166666666666,11.4,23.6,80.25,24,249.76851851851853,0,2.43
2022-03-10,18.175,13.5,22.7,67.04166666666667,24,215.625,0,2.53
2022-03-11,16.1125,11,21.1,73.04166666666667,24,226.15740740740742,0,2.31
2022-03-12,19.258333333333333,15.2,24.3,73.125,24,182.17592592592592,0,2.45
2022-03-13,16.466666666666665,12.9,20.9,64.375,24,218.28703703703704,0,4.63
2022-03-14,17.379166666666666,11.1,24.5,66.83333333333333,24,233.33333333333334,0,3.07
2022-03-15,16.754166666666666,13,23.3,62.5,24,168.51851851851853,0,4.5
2022-03-16,14.9125,9.3,21.2,64.25,24,246.52777777777777,0,4.51
2022-03-17,14.366666666666667,8.7,21.6,62.75,24,241.31944444444446,0,3.31
2022-03-18,15.1875,10.6,19.7,73.91666666666667,24,193.5185185185185,0,2.07
2022-03-19,16.283333333333335,14.1,20.1,81.375,24,210.41666666666666,9.2,3.13
2022-03-20,16.6,15.4,19,78.33333333333333,24,139.35185185185185,7.4,4.25
2022-03-21,18.583333333333332,15.4,19.8,99.54166666666667,24,63.0787037037037,28.4,3.22
2022-03-22,19.104166666666668,17.2,22,96.33333333333333,24,136.80555555555554,63.4,2.95
2022-03-23,15.920833333333334,14.6,19.2,94.41666666666667,24,72.80092592592592,31,2.62
2022-03-24,18.220833333333335,15.8,21.4,78.08333333333333,24,113.0787037037037,4.4,5.16
2022-03-25,16.475,11.6,21.2,70.83333333333333,24,175,0,4.92
2022-03-26,16.333333333333332,13.3,20.8,61.625,24,151.1574074074074,0,5.83
2022-03-27,15.270833333333334,12.5,20.2,64.20833333333333,24,180.4398148148148,0,6.33
2022-03-28,16.845833333333335,15,21.1,68.79166666666667,24,172.6851851851852,0,5.87
2022-03-29,18.995833333333334,14.9,24.2,72.66666666666667,24,173.49537037037038,0,3.15
2022-03-30,18.125,13,24,69.25,24,216.66666666666666,0,3.38
2022-03-31,17.03181818181818,11.9,24.9,78.36363636363636,22,179.67171717171718,0,1.76
2022-04-01,18.73181818181818,14.6,25.1,70.22727272727273,22,139.64646464646464,0,1.03
2022-04-02,17.05,11.9,23.3,85.95833333333333,24,180.20833333333334,0,1.72
